Time,berkeley,napa,oakland,palo alto,san francisco,san jose,santa rosa,sonoma,vacaville,Grand Total
10:15:00,,,7,2,21,15,2,,1,48
10:15:01,1,3,4,1,22,16,1,,,48
10:15:02,2,,1,1,22,23,3,,,52
10:15:03,2,2,3,2,15,23,4,,,51
10:15:04,3,,7,,13,19,4,,,46
10:15:05,2,1,4,,14,12,3,1,3,40
10:15:06,4,,10,1,16,16,2,,5,54
10:15:07,1,3,1,1,19,30,5,1,,61
10:15:08,4,,5,1,7,16,1,,2,36
10:15:09,5,1,3,,15,29,1,1,2,57
10:15:10,7,,8,,18,38,2,,,73
10:15:11,5,,4,,9,27,2,1,,48
10:15:12,1,,11,,16,23,,,1,52
10:15:13,,1,8,1,18,40,3,,,71
10:15:14,,,2,4,20,17,3,,,46
10:15:15,5,1,7,2,19,22,3,,,59
10:15:16,1,,3,1,8,23,1,,,37
10:15:17,2,,7,1,12,23,2,1,,48
10:15:18,1,1,18,1,14,22,2,,,59
10:15:19,,,4,1,5,17,3,1,,31
10:15:20,4,1,7,,8,26,3,,,49
10:15:21,5,1,8,,12,17,1,,,44
10:15:22,3,,9,,25,21,,,1,59
10:15:23,1,,13,3,16,16,1,,1,51
10:15:24,,1,11,2,14,13,,,,41
10:15:25,3,1,8,2,14,15,1,,,44
10:15:26,1,,4,4,17,16,3,,,45
10:15:27,3,,4,2,16,15,4,,1,45
10:15:28,4,,6,,19,20,11,,,60
10:15:29,3,,5,2,20,15,1,,1,47
10:15:30,,,2,,11,23,,,,36
10:15:31,1,1,10,,11,17,2,,5,47
10:15:32,4,1,2,,18,18,4,,3,50
10:15:33,1,1,6,2,19,23,4,,2,58
10:15:34,2,,2,,16,19,7,,1,47
10:15:35,2,,7,1,18,18,2,,1,49
10:15:36,2,1,1,1,19,19,4,1,,48
10:15:37,3,,5,3,11,17,,,,39
10:15:38,1,,7,1,12,21,,,,42
10:15:39,1,,3,,15,20,,1,2,42
10:15:40,2,2,4,2,11,14,2,1,,38
10:15:41,7,1,7,1,8,19,4,,,47
10:15:42,4,,4,2,16,19,4,,2,51
10:15:43,2,1,9,1,14,14,4,,,45
10:15:44,1,1,5,,12,19,,,,38
10:15:45,2,,9,,11,16,1,,1,40
10:15:46,,1,3,1,12,16,5,,,38
10:15:47,1,1,7,,19,16,3,,2,49
10:15:48,1,1,3,1,12,22,4,1,2,47
10:15:49,3,1,2,1,19,23,7,,1,57
10:15:50,2,,7,,10,23,1,,2,45
10:15:51,1,,6,,17,10,,,,34
10:15:52,1,,6,1,10,15,,,2,35
10:15:53,,,3,1,21,30,2,,3,60
10:15:54,1,1,3,2,17,14,2,,,40
10:15:55,4,,5,,9,30,4,1,,53
10:15:56,,,13,2,18,27,,,2,62
10:15:57,1,2,10,2,19,20,,2,,56
10:15:58,4,1,5,1,8,20,3,1,,43
10:15:59,1,,8,1,7,14,1,,,32
10:16:00,,,13,1,15,15,1,,,45
10:16:01,,,4,,26,14,2,,2,48
10:16:02,2,,8,2,15,28,1,,,56
10:16:03,1,2,6,1,10,15,3,1,,39
10:16:04,1,1,11,1,9,17,1,,,41
10:16:05,2,1,12,,16,15,4,,1,51
10:16:06,1,,11,1,9,20,3,,,45
10:16:07,2,,21,2,22,31,1,,,79
10:16:08,1,1,7,,13,17,6,,,45
10:16:09,1,1,6,2,18,16,1,,,45
10:16:10,1,2,7,,5,15,,,,30
10:16:11,3,1,7,1,10,16,2,,,40
10:16:12,2,2,1,,10,19,2,,1,37
10:16:13,1,1,8,,11,25,,,,46
10:16:14,3,1,2,1,17,28,,1,1,54
10:16:15,1,,12,1,8,20,5,,,47
10:16:16,2,,14,2,13,31,2,,1,65
10:16:17,,1,13,2,11,22,,1,,50
10:16:18,,4,4,2,11,33,4,,,58
10:16:19,1,1,5,,9,24,1,,,41
10:16:20,1,1,4,,17,17,,,,40
10:16:21,2,1,6,1,15,20,2,,,47
10:16:22,2,,5,1,26,20,1,,,55
10:16:23,4,,5,1,19,19,,,1,49
10:16:24,1,2,17,2,16,25,4,,,67
10:16:25,6,,7,1,18,24,4,,,60
10:16:26,2,,9,1,15,22,1,,1,51
10:16:27,1,,2,1,12,20,2,,2,40
10:16:28,3,,9,1,20,21,5,1,1,61
10:16:29,,1,8,2,35,18,2,1,1,68
10:16:30,2,,3,1,24,16,2,,1,49
10:16:31,2,1,8,4,19,15,2,1,,52
10:16:32,,,7,1,15,18,,,1,42
10:16:33,,,11,,15,22,1,,,49
10:16:34,2,,7,4,13,24,1,,,51
10:16:35,3,2,7,,11,27,2,,,52
10:16:36,5,,6,,18,21,,,1,51
10:16:37,2,,16,,18,22,1,,,59
10:16:38,,1,4,1,21,30,3,,,60
10:16:39,1,1,2,2,22,15,2,,2,47
10:16:40,,2,6,1,16,16,2,1,,44
10:16:41,,,6,,20,23,2,,,51
10:16:42,3,,8,2,22,21,3,,,59
10:16:43,1,1,16,,12,25,1,,1,57
10:16:44,,,3,,15,16,1,,1,36
10:16:45,,,6,,12,21,,,,39
10:16:46,3,1,6,,16,18,1,,,45
10:16:47,1,,8,2,17,26,4,,1,59
10:16:48,1,,9,1,13,20,4,,1,49
10:16:49,1,,12,,15,15,4,1,,48
10:16:50,1,1,4,1,12,22,5,,3,49
10:16:51,1,1,3,1,13,21,2,,,42
10:16:52,2,1,5,,7,24,2,,,41
10:16:53,1,,8,2,21,37,2,,,71
10:16:54,2,,13,1,18,19,1,,,54
10:16:55,1,1,17,,13,18,3,,,53
10:16:56,,,11,,9,22,8,,1,51
10:16:57,2,1,4,1,17,27,7,1,1,61
10:16:58,1,,8,2,19,25,4,,,59
10:16:59,,,5,1,13,25,5,,,49
10:17:00,,,20,2,14,19,5,,,60
10:17:01,,1,5,1,17,29,3,,,56
10:17:02,,,10,2,21,25,4,,,62
10:17:03,1,1,5,,14,19,8,,1,49
10:17:04,1,,4,,12,25,5,,,47
10:17:05,1,1,9,,22,16,4,,,53
10:17:06,3,1,5,,24,21,1,,2,57
10:17:07,1,1,2,,17,17,,,,38
10:17:08,,,5,3,23,21,2,,,54
10:17:09,,,3,3,17,11,1,,2,37
10:17:10,3,,8,,17,24,2,,1,55
10:17:11,2,2,6,1,12,19,3,,,45
10:17:12,3,1,2,,7,26,1,,2,42
10:17:13,1,1,2,,13,23,,,,40
10:17:14,1,1,5,,10,20,,,,37
10:17:15,3,,5,,11,28,1,,,48
10:17:16,3,,10,1,11,21,1,,1,48
10:17:17,1,,7,,23,10,1,,,42
10:17:18,2,,11,1,12,18,1,1,1,47
10:17:19,4,,7,,9,18,2,,,40
10:17:20,2,,3,2,14,21,1,,,43
10:17:21,,1,12,2,7,21,2,1,,46
10:17:22,2,,4,,11,21,1,,,39
10:17:23,1,2,8,1,14,16,7,,,49
10:17:24,3,1,7,,22,20,2,,,55
10:17:25,2,,13,2,17,23,2,,,59
10:17:26,,1,6,2,20,18,5,,1,53
10:17:27,1,1,8,,12,22,1,,,45
10:17:28,,,5,1,14,21,2,1,2,46
10:17:29,1,2,5,,18,25,3,,1,55
10:17:30,,,8,2,16,16,1,,3,46
10:17:31,1,1,5,3,9,24,2,,1,46
10:17:32,2,,10,1,13,21,,,,47
10:17:33,,4,3,,16,11,,,2,36
10:17:34,1,,7,,14,24,1,,1,48
10:17:35,2,,3,,11,22,2,,1,41
